824599521407922,"к. Кондопога, ул. Фестивальная, д. 7/3 к. 2, 486521",25591297,2012-10-27
952452049853986,"клх Сладково, наб. Надежды, д. 728 к. 8, 009068",25355831,1996-08-10
631139069451502,"с. Камень-на-Оби, алл. Просторная, д. 13 к. 2/7, 331821",26160992,2011-03-13
124930849647171,"п. Тура, пер. Ушакова, д. 900 к. 160, 836844",12523211,2003-12-01
575528223630013,"д. Дмитров, алл. Ильича, д. 10 стр. 4/3, 914333",36756834,2001-11-15
118808315392150,"к. Ростов, пер. Сосновый, д. 190 стр. 8, 203336",27647821,1986-01-29
193183344968393,"п. Макаров, ул. Больничная, д. 72 стр. 447, 683158",36471829,1995-03-24
639289004476470,"с. Астрахань, ул. Приморская, д. 8 стр. 2/3, 078579",38019195,2017-02-13
380187520940577,"ст. Иркутск, ул. Короткая, д. 306, 749096",8102974,2016-04-26
528314460353532,"г. Минеральные Воды, ш. Бажова, д. 539, 024422",13779420,1992-07-14
241241140027426,"ст. Калачинск, пр. Украинский, д. 6/1, 240622",18405221,2009-08-27
563579206159003,"ст. Мураши, ул. Крайняя, д. 6/5 стр. 1, 913280",9410349,2011-08-15
258105905195381,"г. Мыс Шмидта, алл. Щербакова, д. 160 к. 1/5, 884227",25316464,1997-05-29
289993470146445,"ст. Лянтор, пр. Л.Толстого, д. 5/8 к. 14, 517346",35504843,2020-02-25
501160083489266,"п. Дагомыс, алл. Тенистая, д. 501 стр. 83, 379564",25246001,1979-10-18
366892316106061,"п. Льгов, алл. Красноармейская, д. 9/6, 909235",19963534,1973-08-05
804205841980542,"г. Холмск, бул. Жданова, д. 941, 826735",38110513,1978-12-10
504592314852331,"к. Зарайск, ул. Грибоедова, д. 80 стр. 38, 067097",37560640,1995-01-05
755920646088785,"с. Каспийск, бул. Ульяновский, д. 6 стр. 3, 627813",33247258,1991-12-26
500836416137153,"г. Бомнак, алл. Докучаева, д. 4/5, 632818",13525842,1970-12-10
618167220517592,"клх Махачкала, алл. Новая, д. 68 стр. 6/8, 275365",9918820,2006-11-09
232565125289715,"клх Уренгой, ул. Труда, д. 100 стр. 2/6, 161932",36794468,2011-12-27
225587221148256,"д. Октябрьское (Хант.), бул. Садовый, д. 184 стр. 3, 047565",13853596,1983-09-12
525860715610218,"с. Шадринск, ул. Тукая, д. 59 стр. 90, 489141",38144508,1978-02-06
766590708252621,"д. Кириши, наб. Ушакова, д. 4 стр. 13, 349537",24157620,2017-08-27
